id,language
0,en
1,en
2,ru
3,ru
4,zh
5,zh
6,ja
7,ja
8,hi
9,hi
10,ar
11,ar
12,ko
13,ko
14,fr
15,fr
16,de
17,de
18,it
19,it
20,en
21,en
22,ru
23,ru
24,zh
25,zh
26,ja
27,ja
28,hi
29,hi
30,ar
31,ar
32,ko
33,ko
34,fr
35,fr
36,de
37,de
38,it
39,it
40,en
41,en
42,ru
43,ru
44,zh
45,zh
46,ja
47,ja
48,hi
49,hi
50,ar
51,ar
52,ko
53,ko
54,fr
55,fr
56,de
57,de
58,it
59,it
60,en
61,en
62,ru
63,ru
64,zh
65,zh
66,ja
67,ja
68,hi
69,hi
70,ar
71,ar
72,ko
73,ko
74,fr
75,fr
76,de
77,de
78,it
79,it
80,en
81,en
82,ru
83,ru
84,zh
85,zh
86,ja
87,ja
88,hi
89,hi
90,ar
91,ar
92,ko
93,ko
94,fr
95,fr
96,de
97,de
98,it
99,it
100,en
101,en
102,ru
103,ru
104,zh
105,zh
106,ja
107,ja
108,hi
109,hi
110,ar
111,ar
112,ko
113,ko
114,fr
115,fr
116,de
117,de
118,it
119,it
120,en
121,en
122,ru
123,ru
124,zh
125,zh
126,ja
127,ja
128,hi
129,hi
130,ar
131,ar
132,ko
133,ko
134,fr
135,fr
136,de
137,de
138,it
139,it
140,en
141,en
142,ru
143,ru
144,zh
145,zh
146,ja
147,ja
148,hi
149,hi
150,ar
151,ar
152,ko
153,ko
154,fr
155,fr
156,de
157,de
158,it
159,it
160,en
161,en
162,ru
163,ru
164,zh
165,zh
166,ja
167,ja
168,hi
169,hi
170,ar
171,ar
172,ko
173,ko
174,fr
175,fr
176,de
177,de
178,it
179,it
180,en
181,en
182,ru
183,ru
184,zh
185,zh
186,ja
187,ja
188,hi
189,hi
190,ar
191,ar
192,ko
193,ko
194,fr
195,fr
196,de
197,de
198,it
199,it
200,en
201,en
202,ru
203,ru
204,zh
205,zh
206,ja
207,ja
208,hi
209,hi
210,ar
211,ar
212,ko
213,ko
214,fr
215,fr
216,de
217,de
218,it
219,it
220,en
221,en
222,ru
223,ru
224,zh
225,zh
226,ja
227,ja
228,hi
229,hi
230,ar
231,ar
232,ko
233,ko
234,fr
235,fr
236,de
237,de
238,it
239,it
240,en
241,en
242,ru
243,ru
244,zh
245,zh
246,ja
247,ja
248,hi
249,hi
250,ar
251,ar
252,ko
253,ko
254,fr
255,fr
256,de
257,de
258,it
259,it
260,en
261,en
262,ru
263,ru
264,zh
265,zh
266,ja
267,ja
268,hi
269,hi
270,ar
271,ar
272,ko
273,ko
274,fr
275,fr
276,de
277,de
278,it
279,it
280,en
281,en
282,ru
283,ru
284,zh
285,zh
286,ja
287,ja
288,hi
289,hi
290,ar
291,ar
292,ko
293,ko
294,fr
295,fr
296,de
297,de
298,it
299,it
300,en
301,en
302,ru
303,ru
304,zh
305,zh
306,ja
307,ja
308,hi
309,hi
310,ar
311,ar
312,ko
313,ko
314,fr
315,fr
316,de
317,de
318,it
319,it
320,en
321,en
322,ru
323,ru
324,zh
325,zh
326,ja
327,ja
328,hi
329,hi
330,ar
331,ar
332,ko
333,ko
334,fr
335,fr
336,de
337,de
338,it
339,it
340,en
341,en
342,ru
343,ru
344,zh
345,zh
346,ja
347,ja
348,hi
349,hi
350,ar
351,ar
352,ko
353,ko
354,fr
355,fr
356,de
357,de
358,it
359,it
360,en
361,en
362,ru
363,ru
364,zh
365,zh
366,ja
367,ja
368,hi
369,hi
370,ar
371,ar
372,ko
373,ko
374,fr
375,fr
376,de
377,de
378,it
379,it
380,en
381,en
382,ru
383,ru
384,zh
385,zh
386,ja
387,ja
388,hi
389,hi
390,ar
391,ar
392,ko
393,ko
394,fr
395,fr
396,de
397,de
398,it
399,it
400,en
401,en
402,ru
403,ru
404,zh
405,zh
406,ja
407,ja
408,hi
409,hi
410,ar
411,ar
412,ko
413,ko
414,fr
415,fr
416,de
417,de
418,it
419,it
420,en
421,en
422,ru
423,ru
424,zh
425,zh
426,ja
427,ja
428,hi
429,hi
430,ar
431,ar
432,ko
433,ko
434,fr
435,fr
436,de
437,de
438,it
439,it
440,en
441,en
442,ru
443,ru
444,zh
445,zh
446,ja
447,ja
448,hi
449,hi
450,ar
451,ar
452,ko
453,ko
454,fr
455,fr
456,de
457,de
458,it
459,it
460,en
461,en
462,ru
463,ru
464,zh
465,zh
466,ja
467,ja
468,hi
469,hi
470,ar
471,ar
472,ko
473,ko
474,fr
475,fr
476,de
477,de
478,it
479,it
480,en
481,en
482,ru
483,ru
484,zh
485,zh
486,ja
487,ja
488,hi
489,hi
490,ar
491,ar
492,ko
493,ko
494,fr
495,fr
496,de
497,de
498,it
499,it
500,en
501,en
502,ru
503,ru
504,zh
505,zh
506,ja
507,ja
508,hi
509,hi
510,ar
511,ar
512,ko
513,ko
514,fr
515,fr
516,de
517,de
518,it
519,it
520,en
521,en
522,ru
523,ru
524,zh
525,zh
526,ja
527,ja
528,hi
529,hi
530,ar
531,ar
532,ko
533,ko
534,fr
535,fr
536,de
537,de
538,it
539,it
540,en
541,en
542,ru
543,ru
544,zh
545,zh
546,ja
547,ja
548,hi
549,hi
550,ar
551,ar
552,ko
553,ko
554,fr
555,fr
556,de
557,de
558,it
559,it
560,en
561,en
562,ru
563,ru
564,zh
565,zh
566,ja
567,ja
568,hi
569,hi
570,ar
571,ar
572,ko
573,ko
574,fr
575,fr
576,de
577,de
578,it
579,it
580,en
581,en
582,ru
583,ru
584,zh
585,zh
586,ja
587,ja
588,hi
589,hi
590,ar
591,ar
592,ko
593,ko
594,fr
595,fr
596,de
597,de
598,it
599,it
600,en
601,en
602,ru
603,ru
604,zh
605,zh
606,ja
607,ja
608,hi
609,hi
610,ar
611,ar
612,ko
613,ko
614,fr
615,fr
616,de
617,de
618,it
619,it
620,en
621,en
622,ru
623,ru
624,zh
625,zh
626,ja
627,ja
628,hi
629,hi
630,ar
631,ar
632,ko
633,ko
634,fr
635,fr
636,de
637,de
638,it
639,it
640,en
641,en
642,ru
643,ru
